Wall time,Step,Value
1716375607.845822,19,0.7858933806419373
1716375683.8463297,117,0.08808274567127228
1716375702.7219243,176,0.15341971814632416
1716375719.045473,230,0.08845200389623642
1716375727.7475932,259,0.22982481122016907
1716375762.0917099,379,0.07552957534790039
1716375767.7577653,399,0.12370768189430237
1716375769.364737,405,0.08009400963783264
1716375778.2886481,437,0.10778684914112091
1716375786.486455,466,0.14249008893966675
1716375827.4626226,510,0.14629557728767395
1716375830.6993527,521,0.10652382671833038
1716375835.500461,538,0.13055211305618286
1716375839.688116,553,0.13172461092472076
1716375860.520589,629,0.12878277897834778
1716375861.876949,634,0.07079803943634033
1716375862.949931,638,0.07227328419685364
1716375878.5328252,695,0.06539614498615265
1716375902.3860788,782,0.06982078403234482
1716375924.1484306,858,0.1415911614894867
1716375926.577242,867,0.07829678058624268
1716375992.5087638,1004,0.13559669256210327
1716375995.192636,1014,0.10157625377178192
1716375997.6054444,1023,0.109327033162117
1716376003.2468898,1044,0.19083914160728455
1716376023.6444604,1120,0.08930283784866333
1716376027.9371326,1136,0.0920976996421814
1716376031.9625764,1151,0.1942857801914215
1716376034.3797815,1160,0.1649426370859146
1716376038.1382456,1174,0.19745028018951416
1716376039.484634,1179,0.04222661256790161
1716376058.549421,1250,0.16315433382987976
1716376060.4290144,1257,0.1487872451543808
1716376060.697229,1258,0.08947255462408066
1716376077.6250112,1321,0.08838661015033722
1716376095.0903144,1386,0.1833597719669342
1716376111.4740095,1447,0.10145881772041321
1716376114.7073734,1459,0.07244160771369934
1716376124.383653,1495,0.08006664365530014
1716376127.3414497,1506,0.07865835726261139
1716376134.8603287,1534,0.09406962990760803
1716376135.934026,1538,0.0787743330001831
1716376138.889097,1549,0.07993524521589279
1716376158.7720664,1623,0.1281691938638687
1716376167.9105678,1657,0.1281183362007141
1716376228.832862,1884,0.1366114318370819
1716376235.27468,1908,0.12349763512611389
1716376240.9188325,1929,0.12835748493671417
1716376245.214557,1945,0.07983794808387756
1716376246.829067,1951,0.06585382670164108
1716376275.3065462,2057,0.12753012776374817
1716376349.158613,2332,0.06315187364816666
1716376363.123877,2384,0.12194988131523132
1716376372.535512,2419,0.10655218362808228
1716376377.643419,2438,0.2373516857624054
1716376384.6408098,2464,0.07022915780544281
1716376390.0102248,2484,0.05508189648389816
1716376437.7030277,2554,0.08380421996116638
1716376444.1374328,2578,0.23313581943511963
1716376451.7538695,2606,0.1356258988380432
1716376466.773558,2662,0.1223401129245758
1716376469.1858993,2671,0.11269205063581467
1716376471.8668935,2681,0.07613904774188995
1716376473.2074273,2686,0.09310653060674667
1716376484.2461998,2727,0.12983381748199463
1716376491.475674,2754,0.1379636973142624
1716376493.3486538,2761,0.18363487720489502
1716376495.2227073,2768,0.09736791253089905
1716376502.6247163,2796,0.06389982253313065
1716376512.5328724,2833,0.08103591203689575
1716376539.3033776,2933,0.1414090096950531
1716376561.8102605,3017,0.10666640102863312
1716376570.1070857,3048,0.1180008053779602
1716376576.8035703,3073,0.08105142414569855
1716376579.7475922,3084,0.1093769446015358
1716376587.7797327,3114,0.19690614938735962
1716376603.3282616,3172,0.16815337538719177
1716376605.477047,3180,0.026649456471204758
1716376613.789401,3211,0.029043665155768394
1716376615.1302435,3216,0.09198213368654251
1716376618.3451269,3228,0.11461994796991348
1716376634.158755,3287,0.07042932510375977
1716376656.6740642,3371,0.08105812966823578
1716376663.3818321,3396,0.07931002974510193
1716376685.9100616,3480,0.17825332283973694
1716376686.446683,3482,0.07484107464551926
1716376689.9269943,3495,0.1316831111907959
1716376707.884271,3562,0.08177435398101807
1716376714.592952,3587,0.07662179321050644
1716376717.808158,3599,0.0936606153845787
1716376722.9019961,3618,0.10763944685459137
1716376729.065474,3641,0.1192413941025734
1716376729.6018095,3643,0.08602951467037201
1716376732.2813318,3653,0.1103905588388443
1716376734.9569051,3663,0.15177319943904877
1716376756.4229984,3743,0.12868744134902954
1716376763.1199455,3768,0.1059659868478775
1716376784.8280094,3849,0.063066765666008
1716376790.4558356,3870,0.1424415409564972
1716376793.9401505,3883,0.1434219777584076
1716376808.4110978,3937,0.0443829745054245
1716376821.0108654,3984,0.06909559667110443
1716376826.908197,4006,0.05058974772691727
1716376827.980647,4010,0.10027560591697693
1716376842.4471378,4064,0.09140503406524658
1716376845.936308,4077,0.10630214959383011
1716376846.4736567,4079,0.12773573398590088
1716376846.7406733,4080,0.14939960837364197
1716376849.426507,4090,0.11673403531312943
1716376863.8950367,4144,0.1504732370376587
1716376882.6528645,4214,0.13402250409126282
1716376928.5822108,4385,0.06680845469236374
1716376930.727668,4393,0.07405327260494232
1716376938.5045955,4422,0.07460488379001617
1716376941.4568255,4433,0.11486262828111649
1716376970.4132657,4541,0.0956619456410408
1716376974.9830058,4558,0.1122220903635025
1716376994.7597303,4632,0.09012134373188019
1716377000.9237075,4655,0.09209500253200531
1716377001.9947004,4659,0.13278330862522125
1716377022.8820777,4737,0.1456957757472992
1716377038.4411502,4795,0.08905863016843796
1716377040.0477812,4801,0.08993659913539886
1716377040.8523529,4804,0.11588921397924423
1716377041.6552784,4807,0.08391445875167847
1716377077.5586276,4941,0.12685857713222504
1716377086.665342,4975,0.15409979224205017
1716377127.1173532,5018,0.08621539175510406
1716377137.0372043,5055,0.08424322307109833
1716377137.8408034,5058,0.06095842272043228
1716377148.5595276,5098,0.1155327707529068
1716377149.0955908,5100,0.09621821343898773
1716377155.2638848,5123,0.062383219599723816
1716377163.0277505,5152,0.13152089715003967
1716377168.9164724,5174,0.08629772067070007
1716377171.5998056,5184,0.11630138754844666
1716377174.2744951,5194,0.07675839215517044
